R1,R2,R3,R4,barrier
N#C[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,12.8
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,11.3
F[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],14.3
S=C=N[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],11.8
Cl[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,16.1
C#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.6
S=C=N[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],13.7
Cl[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],12.9
O=C=N[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],15.7
F[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],18.2
O[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],16.7
C#C[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.1
S=C=N[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],14.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],6.2
F[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],15.5
Cl[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,13.7
Cl[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.7
N#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],8.1
Br[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,9.5
Cl[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,16.0
C#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,14.6
N#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],11.5
O[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],16.3
O=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,21.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,9.8
F[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.3
F[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],18.3
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],6.1
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],7.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],3.4
C#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,12.5
Cl[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],12.2
S=C=N[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],19.0
F[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],20.6
Cl[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,9.0
S=C=N[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,19.4
O[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],17.5
Br[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],8.2
F[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],13.0
Cl[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,13.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,9.7
Cl[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],10.9
S=C=N[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,15.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],4.9
C#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],6.3
O=C=N[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],19.2
Br[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,13.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,7.8
O=C=N[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,18.0
O=C=N[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,16.9
Cl[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],10.9
C#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],6.6
Br[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,10.6
S=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,19.3
F[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],20.5
O[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],19.3
O=C=N[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],10.6
F[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,18.1
O=C=N[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.9
C#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.1
F[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],16.2
F[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],18.2
S=C=N[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],13.5
Cl[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],11.7
F[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],18.9
C#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.0
N#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],5.5
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,8.5
S[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],8.8
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,3.9
O[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.3
O=C=N[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,17.5
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,10.8
S[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],8.6
S[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,12.0
F[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.2
Cl[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],15.6
Br[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,11.8
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,9.2
S=C=N[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],13.4
O[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,11.2
S[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,11.5
O[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,17.3
F[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,19.3
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],10.0
O[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],14.1
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],8.9
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,8.7
O[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,20.1
O=[N+]([O-])[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],8.3
O[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],16.0
O=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,20.7
Cl[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[As+](C)(C)[*:4],9.6
O=C=N[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],15.2
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],11.0
O[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],15.4
Br[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.9
S=C=N[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.5
Cl[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],11.9
Br[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CN1C=CN(C)[C-]1[*:4],9.7
N#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,8.4
N#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],8.4
O=C=N[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],16.1
C#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,10.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],10.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],7.2
O=C=N[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,14.4
Cl[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],8.7
S=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.3
Cl[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],8.8
O=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,19.0
S[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],10.9
O=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],11.6
I[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,10.8
S[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,7.8
N#C[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],2.8
O=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,20.1
S[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,8.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,9.3
S[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],8.1
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,9.9
N#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],8.7
O=C=N[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],11.0
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,11.3
Br[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,12.1
N#C[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,12.5
O=C=N[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],8.1
O[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,19.4
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1cn([*:4])cn1,9.3
Cl[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,12.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CN1C=CN(C)[C-]1[*:4],9.9
Cl[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,16.2
C#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,10.7
N#C[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],6.7
O=C=N[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,14.0
O[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],13.7
O[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,15.5
Cl[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],12.0
O=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,19.2
S[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],8.2
O=C=N[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,17.9
Br[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,11.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,11.1
Cl[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],10.5
N#C[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cn([*:4])cn1,11.6
S=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CN1C=CN(C)[C-]1[*:4],15.5
Cl[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,15.4
O=C=N[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],18.1
S=C=N[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,13.6
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],3.9
O=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],14.2
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,5.7
C#C[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,15.5
O[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],12.8
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],1.6
N#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],3.4
Cl[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],9.4
C#C[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],14.1
S=C=N[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],12.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],7.7
O[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,20.2
C#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,12.1
O=C=N[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,17.5
Cl[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.8
Br[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,11.5
O[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],14.4
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],6.0
S=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.7
Cl[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.6
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,13.6
Cl[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,12.9
C#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],11.6
O[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],16.6
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],7.4
F[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],14.3
Cl[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,14.0
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],7.9
S[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,12.1
O=C=N[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],13.3
O[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],15.7
O[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.6
Cl[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],12.2
O=C=N[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],19.4
Cl[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],13.3
S=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,19.8
O[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],19.3
Cl[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],10.2
C#C[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,9.4
S[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],9.9
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],6.5
Cl[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,14.6
F[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],16.2
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],7.1
Br[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],8.7
F[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,18.5
F[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],18.6
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.0
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],8.8
Cl[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],8.1
O[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],14.3
Cl[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],7.4
N#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,4.6
Cl[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],11.8
O[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,18.4
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],8.8
F[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],13.0
O[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],19.8
O=C=N[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],14.9
C#C[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,14.7
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],4.5
F[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],18.4
F[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,19.1
O[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],19.3
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],9.9
O[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],14.2
C#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],5.4
F[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],18.9
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.5
S=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cn([*:4])cn1,16.4
O[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,22.4
O[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,16.4
F[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,23.0
F[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],14.0
O[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,21.7
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],8.4
S[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],10.8
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,11.0
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,9.4
Br[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.8
O[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,15.7
C#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],7.9
