R1,R2,R3,R4,low_barrier,barrier
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-3.752467939942655,6.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-1.9032165989745418,6.4
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],-4.118929691873494,6.4
S[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-1.9829094799873532,6.4
O[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-2.3405861899403724,6.4
Br[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-1.0171823626433654,6.4
Br[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.717863431899701,6.5
O=[N+]([O-])[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.5598245190723388,6.5
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-1.1138178250414337,6.5
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],-4.16724742296552,6.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],-3.845965886991951,6.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.807300482918996,6.5
N#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-4.000331625030248,6.5
Cl[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-1.807836142929999,6.5
S[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.3234038270116517,6.5
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],-4.605244517072444,6.5
C#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-4.041746822711668,6.5
C#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-4.45401629374087,6.5
Br[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.8828967208397263,6.5
C#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-2.651827678010629,6.6
O=C=N[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-2.754110666966406,6.6
N#C[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-4.073749475987563,6.6
Br[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.4179169979436047,6.6
C#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.2730556480116335,6.6
Br[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.4520419421862436,6.6
C#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.678422585986924,6.6
C#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-3.7574879640726584,6.6
Br[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.3604265039895174,6.6
S=C=N[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-2.11405760701293,6.6
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-5.3168329186312935,6.6
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],-2.203163033001977,6.6
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CN1C=CN(C)[C-]1[*:4],-4.491666474002507,6.7
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.428288670877165,6.7
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],-2.429691616000758,6.7
S[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-0.8697191579443352,6.7
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,-3.4405989490166604,6.7
N#C[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-3.913736211034864,6.7
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],-3.492681698027842,6.7
N#C[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-3.5949646869836185,6.7
N#C[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-3.931306295133181,6.7
C#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.264510387933972,6.7
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.2759533810322155,6.7
Br[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-0.7755937077539461,6.8
N#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],-4.013509187996978,6.8
Cl[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.1504527807783633,6.8
N#C[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.344830772016537,6.8
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-2.5595847370295037,6.8
C#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.351733305070449,6.8
S[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],-1.1332704178496429,6.8
Br[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,0.13114812716825464,6.8
N#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-1.6296252908092275,6.8
N#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-3.634497375669792,6.8
S[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-1.6616279440851227,6.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-4.726980098693752,6.9
N#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-2.791760847014026,6.9
Cl[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,0.11044052800651981,6.9
C#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.7315205588807627,6.9
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-0.7222559530312886,6.9
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],-2.7779557809062028,6.9
Cl[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.6528429016792698,6.9
Br[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-0.6024028801912109,6.9
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-0.997102266979418,7.0
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-0.13679565401131835,7.0
O=C=N[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-2.1284901760478303,7.0
S[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-0.28300385292753344,7.0
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-3.783843090006118,7.0
C#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.721960074991782,7.0
Br[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-0.3783843092574316,7.0
N#C[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-3.516526812110316,7.1
S[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],-0.9343519668524919,7.1
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-2.954284124031727,7.1
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],-0.3231640449688164,7.1
S[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.5449123860944458,7.1
S[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.4401193850023286,7.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],-2.2991709919735968,7.1
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.4916664739311685,7.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-1.8900390360791508,7.1
Br[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.4485167062385846,7.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,0.11922556998433971,7.1
Cl[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],1.303951233989426,7.2
N#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],-2.5087569940864927,7.2
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],-3.7298778319996897,7.2
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-3.542881938043776,7.2
S[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-0.6526031199217899,7.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],-2.728383043960023,7.2
N#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,-3.7631354910584,7.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-0.9807871890206096,7.2
Cl[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-0.5045124120103276,7.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-1.003377296963575,7.2
N#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-4.281452968819857,7.2
I[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-0.14432568977829033,7.3
O[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-1.1382904418369686,7.3
N#C[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-4.46656635399454,7.3
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-0.8339514871059788,7.3
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.3558860440165232,7.3
C#C[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-3.287488216903856,7.3
Br[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-0.3746192908389044,7.3
I[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,-1.7124556870281338,7.3
S[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],-0.28425885892436487,7.3
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],-1.6051526740136925,7.3
S[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.5976226379613654,7.3
N#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.3221488210148202,7.4
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-1.1916281969163203,7.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.5285973079929598,7.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-1.972241929085625,7.4
Cl[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.5101599390674079,7.4
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-1.083697681046141,7.4
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-3.1168074010494284,7.4
O=[N+]([O-])[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-2.9160064409856914,7.4
N#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-3.8534959230442785,7.4
Cl[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-0.8057138519632554,7.4
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-1.786501040983865,7.4
Cl[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],0.15311073204146555,7.5
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-2.8143509549569914,7.5
Br[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],0.14495319327607786,7.5
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.8783562609380713,7.5
Br[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,1.446394415271841,7.5
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-4.445231252048406,7.5
O=[N+]([O-])[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-2.8118409429633284,7.5
C#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.073509693944728,7.5
C#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.8250185060013973,7.5
N#C[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.0722546880905743,7.5
S[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],0.2974364219624336,7.5
Cl[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-0.20142846270545853,7.6
Cl[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],0.08847792299063122,7.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-3.0446445558749278,7.6
Br[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],0.4869423281973655,7.6
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-1.666020465002694,7.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,-2.0098921089905675,7.6
Br[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-0.8634441281028559,7.6
Br[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-0.552202640032599,7.6
S[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-0.931841954858829,7.6
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-1.7915210649711906,7.6
Br[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-0.03263015563226145,7.6
S[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-1.0366349559509465,7.6
C#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-2.055072325019176,7.6
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.3372088928341197,7.6
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],-3.682187603977418,7.7
N#C[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.9862867770936057,7.7
N#C[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.160972392981363,7.7
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,-2.817488470020409,7.7
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],-1.452041942043566,7.7
Cl[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-0.27861133200996235,7.7
O=[N+]([O-])[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,0.14056067207315143,7.7
S[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,0.03953268897152839,7.7
S[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],0.4681172379595389,7.7
Br[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],-0.4141519803811434,7.7
S=C=N[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-1.5110272238946423,7.7
S[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,0.4292120520577651,7.7
Br[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,0.28551386520655164,7.7
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],-3.66022499896153,7.7
Br[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],0.23029360106061406,7.8
S[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,0.3965818959974706,7.8
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-1.0466750039255976,7.8
C#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.6482105990042187,7.8
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-2.3914139330260613,7.8
C#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-1.396821678040306,7.8
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,-1.5103997210389044,7.8
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-3.9953116009715837,7.8
Br[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],0.615580443086602,7.8
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.265137891003726,7.8
Cl[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-0.8358339958872094,7.8
S[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.8320689780393928,7.8
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],0.4461546329436503,7.9
Br[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.04518021588593092,7.9
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],-4.046766847127027,7.9
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-1.2512409821225066,7.9
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],-2.755993175890314,7.9
S[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-0.37022677006401095,7.9
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.8448588200505422,7.9
C#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-0.8872892420426527,7.9
Br[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],1.074912639068321,7.9
C#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.570492069974067,7.9
N#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.439343943091168,7.9
Cl[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],0.7523760970265815,7.9
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-0.26104124805432255,7.9
Cl[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,1.3993316900339687,7.9
C#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-2.5652322640865837,7.9
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.764390496698537,7.9
S[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-0.8998393020109668,8.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-1.8900390357937955,8.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,-1.3792515940133274,8.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],-2.474244328959612,8.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.22339106800670244,8.0
C#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],-0.607422904035859,8.0
C#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-3.4851516620468534,8.0
S[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],0.5465551131181965,8.0
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,0.15248322897171102,8.0
S[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-2.462949274988129,8.0
O=[N+]([O-])[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.3311736450354754,8.0
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-2.603509947061281,8.0
N#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-0.9186643920347769,8.0
S[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,-0.15122822311755726,8.1
N#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],-1.5744050269486454,8.1
Cl[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],1.1621355560621207,8.1
Cl[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],0.3419891350639653,8.1
