R1,R2,R3,R4,X,Y,low_barrier,barrier
E,A,A,C,B,B,3.7458801548163234,-0.9470075925230628
E,E,C,A,B,A,6.7154432389968335,-0.94556941679991
E,D,B,C,A,A,-1.327433541420326,-0.9384286212716078
A,B,A,E,B,A,8.772413019890381,-0.919115826889396
D,E,C,E,B,A,5.32988349489753,-0.9124733095632976
D,A,C,A,A,A,5.121920580133231,-0.9114398818026772
A,D,A,C,A,A,5.6328199686746245,-0.9060121645987862
D,C,E,D,C,B,5.501112005229954,-0.9042522967207376
E,C,D,C,C,A,1.9056395960739632,-0.9011525003314268
A,E,C,A,B,B,3.863688783549031,-0.8882283892459187
D,C,E,A,C,A,5.485355242321081,-0.8834231863893124
B,E,A,B,A,A,4.561786798329787,-0.8802104697371566
A,C,E,D,C,A,4.472134519847642,-0.8779635552871107
C,A,D,E,C,A,4.405712642189329,-0.8771780039172432
C,B,E,A,B,A,8.484668550511197,-0.7981372405152719
B,A,E,D,B,B,8.750720017356162,-0.7759170139632559
B,D,A,A,C,A,5.203854492096752,-0.7572327186760066
A,E,C,A,A,A,6.589000079935659,-0.7524383912154752
E,C,D,C,B,A,2.868170103256409,-0.7408459029677242
C,A,E,A,B,A,9.295442166449895,-0.7399097335099064
E,C,C,E,B,B,3.8828654730222754,-0.7321819347589942
E,A,C,E,A,A,9.0038824395451,-0.7302754857921248
E,D,C,D,C,B,3.921990688663431,-0.7235917975810747
D,C,E,E,B,A,8.899778617789778,-0.7032595206115876
A,D,C,E,C,A,-0.05708453698177257,-0.7020029667958299
E,A,A,D,A,B,-2.0801750812114945,-0.7009415696086092
A,C,A,E,B,A,8.192129908799371,-0.6992897331284978
A,E,D,C,A,A,7.699447120330357,-0.6928064168964243
D,C,D,A,C,B,5.3811133685503,-0.6832215968338257
A,C,E,E,B,A,8.727062910108167,-0.6791911499583371
B,A,D,E,C,B,6.856934075305071,-0.6598779062795277
A,C,E,C,B,B,4.275880931741349,-0.6529132287396294
D,E,C,A,C,B,5.103503177012536,-0.6499815670130543
D,E,B,C,C,B,-1.3118148306339208,-0.6287713955244358
B,A,A,D,B,B,6.461308177029246,-0.6116980168762853
C,A,A,D,A,B,9.34980958728671,-0.5950766205465099
D,C,D,A,C,A,4.2136006163303055,-0.5946189440465165
D,B,A,E,C,A,8.227973249855946,-0.5832259354624287
C,E,C,A,B,A,3.0578599422648796,-0.5825201365928531
C,E,C,D,B,A,2.9152082135074626,-0.5819671093387592
A,B,D,A,B,B,6.4204447601215024,-0.5769483676088457
E,D,E,C,A,A,8.088164139130848,-0.574144852291739
E,C,C,A,B,A,4.674587901410761,-0.5608564292240928
A,E,D,C,B,B,4.727568526244198,-0.5598384740169629
D,C,A,E,B,A,9.074458430042487,-0.5558094621368795
A,A,A,A,C,A,6.143380501973895,-0.5514446531279238
E,A,C,D,B,B,4.745176442143255,-0.550353466213692
E,A,C,D,A,A,8.127759986929867,-0.5391376988595022
D,E,C,E,A,A,6.750991650687664,-0.5326145107289966
C,E,A,C,B,A,4.650115031841409,-0.5208376136579667
E,A,C,A,B,B,3.680317964963378,-0.515673785510186
C,C,A,D,A,A,6.428451781013161,-0.507845203889457
C,A,D,A,C,A,4.699682005352873,-0.504776949184262
C,A,C,D,C,B,2.3590904922422755,-0.4720915990559922
D,D,A,A,B,A,7.957522941675249,-0.4630006534754197
C,D,E,A,B,A,8.992486867480654,-0.4542526060216141
E,C,E,C,A,A,4.355963690821697,-0.436325846948969
B,E,E,B,B,A,5.444115319644242,-0.4285972200526845
D,B,A,E,C,B,9.374069103358622,-0.417673479150218
C,A,D,D,B,A,4.9125959698000985,-0.3944812662543221
A,C,D,D,B,A,4.794071980341531,-0.393004138413784
C,A,A,A,C,A,4.747931208779515,-0.3838540695957251
A,A,E,E,C,A,8.505740318815333,-0.3748435560248272
D,E,E,C,A,A,9.496188722316358,-0.3722403249746985
C,C,D,A,A,A,6.498444187736099,-0.3559331283260464
D,D,C,E,B,B,4.922253340633625,-0.331732491938337
C,D,A,E,C,B,5.988417037342189,-0.3219310428577147
A,B,E,D,B,B,9.515516014182849,-0.3170829436617015
B,A,A,A,A,B,8.466941407860165,-0.2891308573915734
A,B,A,A,C,A,4.249105102430115,-0.2879469795833547
E,B,B,A,A,A,4.383712159768901,-0.2393836683252829
D,B,A,A,A,A,11.604043246449493,-0.234696778717485
C,E,A,C,C,A,3.944643780812532,-0.2262991178335328
E,E,C,D,B,A,7.891483844671731,-0.1935211588161093
E,A,C,A,A,A,7.239683478874616,-0.1787904197978264
D,C,D,A,B,A,7.757196817204571,-0.1732963502683605
B,D,B,E,C,B,5.4494868005802735,-0.1715695972902455
E,C,B,E,B,A,2.7519114230127526,-0.1635784568717262
C,D,E,E,B,A,8.156920352243654,-0.1592967582451765
A,C,D,A,C,A,4.247297875137962,-0.1445845000629464
D,A,E,B,B,A,4.759966840408867,-0.1278556377369779
B,B,A,E,A,A,11.579074644430412,-0.1177588954231461
B,E,D,C,B,A,5.285882530627392,-0.1001319120984404
C,B,B,A,B,A,13.193719272253222,-0.0854350728223457
C,D,D,D,B,A,6.718103879137315,-0.0803043627847791
C,A,D,E,C,B,6.5392009279842975,-0.0783382538571852
A,E,B,A,B,A,4.052173804196274,-0.0716477390558882
A,A,A,E,B,B,7.8511977365100565,-0.0599106337689559
C,E,B,A,C,B,-0.9170486205201613,-0.0592153154666175
A,A,E,A,B,B,7.892776514215,-0.0587987936931636
B,A,D,B,B,A,1.5848128273028437,-0.0408533767196585
D,C,D,A,B,B,6.783069934945035,-0.0404716779294088
D,A,A,E,B,A,9.828442438614845,-0.0361915242325383
C,E,C,A,C,A,2.645592492875939,-0.0160950091964466
E,C,D,E,C,A,5.457726000161518,0.0301236187314906
A,A,E,E,B,B,7.991063323132621,0.0331360456948613
C,C,D,E,A,A,10.18501214709673,0.0370394966184207
D,C,A,D,B,A,8.452722043169565,0.0699206385113991
E,D,A,E,C,A,8.419087535359095,0.0703029339144539
B,D,A,E,C,B,7.438572606651177,0.0988392857869496
D,B,A,A,B,B,7.243178706635609,0.1022079944653545
E,E,A,C,B,A,8.965679662813507,0.1120096365908471
D,C,A,A,B,B,6.316529191179389,0.1150202739298213
E,D,C,D,B,B,4.553811152865381,0.1783094808559124
D,D,E,E,C,A,6.3346077394146585,0.1788449750557807
B,D,A,A,B,B,6.447653570885279,0.1859256856892231
B,E,E,C,B,A,9.150851433448915,0.2036716071260112
A,D,B,E,B,A,4.937589672146713,0.2038729340921114
B,E,B,A,B,B,1.9953922762229441,0.2142952427987446
A,B,B,E,B,A,4.668093178338503,0.2146458906140952
D,D,D,E,C,A,6.1673325386946445,0.2280587259642152
B,B,E,A,A,A,10.684986595660202,0.2428559480735006
C,E,C,A,B,B,2.695573622469451,0.2493185739760988
E,C,A,C,B,B,2.745830856236561,0.249870511232937
B,A,D,E,B,A,8.802282470794639,0.2516175001788203
B,A,E,B,C,A,3.2129865594179283,0.2704609823635205
C,A,D,D,A,B,10.00696260893472,0.2771266369305982
A,B,B,E,C,A,4.716248255483385,0.2971027764693268
C,B,A,E,A,A,11.865702146987108,0.3072555423164265
D,C,A,D,B,B,7.670795037808415,0.3215072852545834
C,E,C,E,C,B,2.611098297188761,0.3263432184860714
E,B,B,E,B,A,6.40805772305059,0.3282565933478662
C,D,A,E,C,A,5.245671723519661,0.3292711858217912
A,B,E,D,B,A,9.339286253441088,0.3304055434474076
B,D,D,A,B,B,7.929259915014829,0.3365418493973502
D,B,A,D,B,B,7.948135399986941,0.3380353890481276
D,A,D,E,C,A,7.650840236255428,0.3539639689542055
B,D,D,D,B,B,8.753738337895243,0.3830449085385909
A,A,D,D,B,B,7.119634641397212,0.3859516065529037
C,E,C,A,A,A,5.348225596857271,0.3899537376838601
E,C,A,C,A,A,5.402480066006162,0.4010678134091493
C,A,A,E,C,A,5.951255926343472,0.4037859530272157
C,E,C,D,C,B,3.186392707784514,0.4039598777519488
E,C,C,D,B,B,4.852995119900031,0.4299510936659519
B,E,E,C,B,B,6.954198043610623,0.4332437005037654
C,D,D,D,B,B,7.950193631125158,0.4471291348079622
E,B,C,E,B,A,9.013451959018235,0.4494001236512189
D,D,D,D,C,A,5.914753700458505,0.479270267762057
D,B,A,D,B,A,8.613835100674368,0.480611848711727
B,D,D,A,B,A,8.551592435932976,0.4839567854053487
E,C,B,E,B,B,3.7993125864727992,0.4896910892527214
A,D,E,E,C,A,7.387738064137997,0.4998838749565168
A,A,C,D,B,A,8.144401538221333,0.5077958032006306
D,D,D,C,A,A,3.483581194713803,0.5133133220816846
B,A,E,E,C,A,10.939171858425539,0.5286205015364885
D,A,E,E,C,A,7.495236712165824,0.5410490005221187
A,B,A,D,B,A,6.580629103510014,0.5437665783410892
A,A,C,D,C,A,7.7821089431835055,0.5489991564303073
C,E,A,C,A,A,6.370124775392877,0.5725360516555592
C,E,D,C,C,B,3.6949452108503262,0.5782255331378751
D,E,E,A,C,A,7.755031909513819,0.5906452208308137
C,E,C,D,B,B,3.9576018513871163,0.603158049677421
C,E,D,C,B,B,5.04554012692624,0.6102704158885992
A,A,E,D,C,A,8.578845172466123,0.6611333668164097
C,B,D,E,A,A,11.292855023141405,0.6677044616068443
E,C,C,D,A,A,7.45939964610196,0.6734169658658027
A,D,D,D,C,B,5.943418333144215,0.6751044992031534
C,B,D,D,A,A,5.918769760854083,0.6875882037425678
B,C,E,D,A,A,11.234496642058199,0.700336668679573
C,A,A,E,B,A,9.314280000895035,0.7279925109384024
D,A,D,E,C,B,6.533183112133951,0.7397224095022009
A,B,E,A,B,B,9.547431146025886,0.7431302790375663
E,C,C,D,C,B,4.089178037844706,0.755676476824308
E,C,C,A,B,B,3.8019669515849017,0.7646957025972378
B,E,D,A,C,B,7.333464769832631,0.7722389111440202
C,E,A,C,B,B,3.8579721721998177,0.775715267235139
E,D,A,D,C,A,7.368486073610809,0.777785083990497
D,D,E,D,C,A,6.303364042385431,0.8078358136588296
D,A,A,D,C,B,5.764025924783866,0.8232634996974524
B,E,E,E,C,A,9.235709539598417,0.8361107742161608
D,A,A,E,C,B,6.255033262733788,0.8413034127056968
E,C,E,C,B,B,6.063548746775281,0.859005392250373
D,A,E,D,C,A,7.561966069639007,0.9162964129789004
B,A,E,E,A,A,15.422620373898607,0.931421062337942
B,C,D,A,A,A,7.661551823199616,0.9333085292726254
B,E,D,C,C,A,5.592546410534038,0.9340552312540852
B,A,D,D,B,A,5.170389411978682,0.9349380878681908
C,D,A,A,B,B,7.196247273079771,0.9455095223103565
B,A,A,B,B,A,2.9673793511192623,0.9557917532074948
C,E,E,A,C,A,8.313264337600671,0.97792815883501
E,B,D,E,C,A,14.21951528443243,0.9881664101014052
A,C,E,D,B,A,7.714363020483331,1.008560606248718
C,B,A,A,A,A,7.764425726373185,1.0277627632342523
C,A,D,A,B,A,8.131531318900128,1.0469438791849968
C,E,E,E,B,A,8.94442591683155,1.0469783708672482
C,C,E,B,A,A,13.143148283642862,1.0479416124069136
C,D,D,E,B,A,8.003732739405509,1.0481991955446124
B,C,A,A,A,A,7.723819588304213,1.0488326337632083
E,D,D,E,C,A,7.890724558247841,1.0638007276917645
D,B,D,D,B,A,9.099784712460167,1.0661838015542071
B,D,D,D,B,A,9.192612188974357,1.0757919368143367
E,E,D,C,A,A,10.656836520652037,1.082544308299998
D,D,B,E,B,A,6.399561244808922,1.084886705767703
C,A,D,E,B,A,7.644533766246066,1.088334600510232
D,B,D,E,B,B,8.905765058141531,1.099247789077856
C,B,A,D,A,A,7.692061333847129,1.135294101976944
A,C,E,E,C,A,8.267826376850435,1.1694566193251932
E,E,A,C,C,A,9.892385653881837,1.1885340847338464
E,E,C,D,A,A,10.700530005321324,1.198027893235883
A,D,D,E,C,B,6.471078499372349,1.2365716002636058
C,A,E,E,C,A,8.718403279202477,1.25229380514443
E,E,C,A,C,A,9.048912519562695,1.2579528146437786
A,C,A,A,B,A,8.695856863962609,1.2840103871994004
B,D,E,A,B,A,11.69746058183785,1.295310889123935
D,B,A,E,B,A,11.46995074693093,1.301112505277776
A,D,D,E,C,A,7.906475045842978,1.3236864977549698
B,A,E,A,B,A,11.72509609909713,1.3332335455852942
B,E,C,A,B,A,5.741586185739838,1.3591869113642148
A,D,A,A,C,B,5.871273568822951,1.375573050630716
C,E,C,A,A,B,4.6711428743761765,1.3769687169602771
C,E,C,A,C,B,2.2095047837176596,1.3831173551672775
E,C,A,C,A,B,4.736937242704689,1.3925784794820208
D,A,A,A,C,B,5.934357096284574,1.4047137476613452
D,C,D,E,B,B,9.051730036982121,1.416906740037893
D,D,B,E,A,A,9.022011188257089,1.4233838778353622
B,E,D,C,A,A,7.9820899376690395,1.4291148898610604
E,D,D,D,C,A,7.451185546955259,1.4355475360950485
D,E,D,D,C,A,7.425809063953849,1.4410183409710668
A,D,A,D,C,B,6.192244664744918,1.449276885845577
D,A,D,A,C,B,6.2221078406921375,1.4513835255889205
C,E,C,D,A,A,6.3614212189675055,1.4647057695328627
C,E,E,D,B,A,10.650837530029508,1.4857807090234652
C,A,A,D,B,A,8.192518964696564,1.4962672884740955
B,A,E,D,B,A,10.633217064073694,1.5033932942399102
E,A,A,B,B,A,6.053690572893439,1.523582049910307
D,A,E,A,C,B,6.552667281279387,1.5246808000314926
C,C,E,B,B,A,16.659931004678924,1.529519002360612
E,C,A,C,C,B,2.192888333074758,1.53026853673693
A,B,B,A,B,A,4.243451242149427,1.530926663582415
A,D,A,E,C,B,5.795664952310626,1.531014957783172
A,E,A,C,B,B,0.8535885873607831,1.5328522931551574
C,D,A,D,B,B,8.289368776848729,1.546783838002986
E,A,B,E,A,A,8.19857443110955,1.566616793286412
E,A,A,A,B,A,10.860827300433431,1.5719862852039557
E,B,A,C,B,B,5.033435469199984,1.5866869803836872
B,D,A,A,B,A,9.408575849530594,1.5926169360632063
A,E,E,B,A,A,8.227069636316878,1.592681915316121
C,D,D,E,B,B,9.072952407394146,1.594076252054488
D,B,A,A,B,A,9.84544167026924,1.600480054702482
A,B,E,A,C,A,8.973736884574253,1.6009131960269964
E,B,B,D,B,A,5.056534092929725,1.6258591494454673
E,A,C,A,C,B,7.135849486157504,1.635975145095861
C,D,A,D,B,A,8.971553151441665,1.643182053641158
E,C,D,C,A,A,6.19565831628091,1.654773795177653
A,B,E,A,C,B,9.500769541401247,1.6719249927027815
A,C,D,A,B,A,8.94424393908239,1.7520131245443251
D,C,A,E,B,B,9.034379400028845,1.7527181176334832
E,B,A,C,B,A,5.7573429487200505,1.7529023970111164
C,D,E,A,B,B,8.994796102393593,1.7659306244860933
E,B,C,D,B,A,8.967668867783479,1.799944754820034
E,A,E,E,C,A,10.516324599257839,1.8022164223165984
B,D,A,E,C,A,6.70399119121327,1.814414562413676
A,A,E,E,B,A,12.406282733548212,1.8187287991597536
B,A,A,B,C,A,-1.504284536534846,1.8297050787289435
C,D,D,A,B,B,8.977269762719539,1.841196556248298
E,C,A,E,C,B,9.478530605690892,1.8435316172261955
A,D,D,A,C,B,7.311727841529043,1.843627074133573
E,D,B,E,B,A,8.754265445843565,1.8822484092762692
C,D,D,A,B,A,9.58829456293363,1.8861287822420305
A,A,A,E,C,A,10.813393859542163,1.9134877923304952
C,D,A,E,B,A,9.397569333399012,1.9231585116532215
A,A,E,A,C,A,10.858769069437894,1.9246522189519832
A,C,E,A,B,A,9.851371634794866,1.9632003474277664
C,D,A,E,B,B,8.863514845266078,2.0113271714642567
A,C,A,E,A,A,15.659473824867144,2.015085935649877
C,E,A,C,C,B,3.6476874724658206,2.024052525377574
A,B,E,A,A,A,14.635623091888537,2.0251913676581075
A,A,C,A,B,A,9.237912097958821,2.042408608715492
C,D,A,A,B,A,9.794569477229087,2.054558743275999
E,A,D,E,C,A,10.677475307218273,2.055901098902035
E,D,E,B,C,B,7.128852755607138,2.0771261315640484
D,B,D,D,B,B,11.3597036074379,2.102173984637599
D,C,E,E,B,B,11.088142607463094,2.108478737931603
B,E,C,A,C,A,5.773777421613794,2.1417702999604757
A,D,D,A,C,A,8.959906575638165,2.187275247994109
C,E,C,C,B,A,11.40347866833219,2.195881569480386
C,A,E,A,A,A,14.911275453669562,2.201553067898483
D,D,E,A,C,A,8.503506384742318,2.202723481255034
A,A,A,A,B,A,10.163476021948467,2.221829414432838
C,A,E,D,A,A,16.569939870954656,2.2388329777901164
A,C,D,E,A,A,16.522349552463417,2.249813898426225
D,B,E,A,C,B,10.100976078332632,2.2743360138775413
A,E,E,A,C,A,11.740037099755988,2.277144683763776
C,E,A,B,C,B,2.3947706808488465,2.2843493742905725
E,C,D,E,B,A,13.107279842116075,2.2897057054846583
E,E,D,C,B,A,9.774846854508366,2.291364546761257
E,E,B,E,A,A,10.93690027396823,2.30561342520175
E,C,E,E,B,A,12.74461701676557,2.369913757427434
D,D,D,D,C,B,6.9109249901944425,2.3971206330340964
A,D,B,E,B,B,5.062388756330068,2.4354936286495663
B,A,A,E,B,B,11.703585074312072,2.4483695056265296
C,A,B,D,A,B,7.154681045574265,2.4644516961014062
A,D,A,E,C,A,9.796094325247925,2.4754691660669192
E,B,A,C,A,B,6.273438115655045,2.555373871324022
D,D,E,D,C,B,6.9999058337200974,2.556496665091065
A,B,E,A,B,A,12.60802702948519,2.5760407232329072
D,B,D,A,B,B,9.670278675694899,2.582264946425331
E,B,A,C,A,A,7.759267598470886,2.588668921001683
D,D,D,C,C,B,3.281805523313902,2.591266820203858
E,A,E,D,C,A,9.971106717571699,2.6182896312363253
D,A,D,A,C,A,8.992179387879803,2.6191198794136104
A,D,A,D,C,A,8.97331017807875,2.621994306689095
B,D,A,D,B,B,9.715578584679365,2.6336594564624525
B,D,E,A,B,B,12.609589528030998,2.639992306488516
A,E,D,E,C,A,10.025474138444183,2.6538463073663903
E,A,A,E,C,A,14.066290021209992,2.659569848355856
B,E,C,A,C,B,4.474519055743186,2.688588249106931
A,D,E,D,B,A,12.218167943499006,2.6911291755315494
E,D,E,D,C,B,5.524442807292585,2.695288017577579
B,D,A,D,B,A,10.77049103658134,2.700485203108484
D,B,D,A,B,A,10.839950060291908,2.703490110667395
C,C,E,C,A,A,17.283355392020685,2.716233364070628
A,A,A,D,C,A,9.46906776301998,2.7245564974712395
D,B,A,E,B,B,12.578308180760159,2.7393668842989984
C,E,E,A,B,A,12.917062895301962,2.748037551578498
E,A,D,E,C,B,8.455194430746529,2.7832929886077404
E,B,C,D,C,A,9.583676093250428,2.8001207016783423
D,E,B,A,B,B,5.548696048514467,2.807810710576107
E,D,B,E,A,A,10.806924236654762,2.855897085363044
A,A,C,D,A,A,8.744118617660028,2.866497910993725
A,E,E,A,C,B,8.619344633946888,2.87941740976216
A,E,D,D,C,A,11.008241826024896,2.9146188225495204
E,A,D,D,C,A,10.73783544354223,2.916945529164657
B,E,E,E,B,B,9.32101317754258,2.924250537676977
B,D,D,E,B,A,11.599776181993834,2.9510222994914166
C,D,E,E,B,B,8.65661242149814,2.9814890741708715
A,E,A,E,C,A,10.500655687602347,3.0098522527383014
B,A,A,D,B,A,9.603166537424244,3.020823827320319
B,E,E,A,B,A,13.1077943999363,3.0422759627903337
A,B,D,A,B,A,9.29542334115074,3.043761284051567
A,C,D,D,A,A,14.237920137425029,3.0499000454024223
C,A,D,D,A,A,14.139056019761338,3.0508328539105243
E,E,A,C,A,A,12.007801667361658,3.0840849223190228
E,E,C,A,A,A,11.83108244926989,3.103400995503438
E,B,C,A,A,A,9.57184753962643,3.127330072190694
E,E,A,C,C,B,5.99925412606673,3.197662772325772
B,A,D,E,A,A,15.10808752511576,3.2042446840138354
E,B,D,C,A,A,7.368253894992562,3.237658189869129
B,A,E,A,A,A,15.415146736019318,3.2818023148168423
E,A,A,A,C,B,7.478193555027419,3.3023529282455675
D,D,C,E,C,B,4.2641151289718575,3.344564491412062
D,B,E,D,B,A,13.911746987902733,3.36073783537757
A,B,A,E,A,A,17.49368401755972,3.3841712009456284
B,E,A,C,B,A,10.247198335976325,3.4093775818460337
A,A,D,D,B,A,12.048815686626979,3.43616854170887
E,C,E,D,B,A,13.697239149268427,3.4777733435174105
E,C,D,D,C,B,9.29893111911117,3.4808726336811486
A,B,E,D,A,A,15.212643153658451,3.4854172767565923
D,A,E,D,B,A,12.62708449220646,3.4958351570595574
D,D,E,E,B,A,11.546431601662078,3.5156502790205173
D,C,A,E,A,A,17.301885746793634,3.5347699499875427
C,D,E,A,A,A,17.31866535013623,3.543336217944848
A,D,E,E,B,A,12.586785833845349,3.558894716709284
D,D,D,D,B,A,11.510977316360016,3.578808247965632
D,D,E,E,C,B,7.470613240274567,3.593886708343188
B,D,E,E,B,A,15.10213246019126,3.624858292433613
D,A,E,E,B,A,12.406634138847092,3.627576797738304
A,D,E,C,C,A,5.503239262393735,3.640249604566829
D,A,D,D,B,B,9.829408803186768,3.721093272725205
A,D,A,A,C,A,10.764310068209651,3.770824066211007
B,D,E,D,A,A,16.91122344861419,3.7741822478087768
B,D,E,D,B,B,11.801507927731373,3.7840075683928793
C,C,D,A,B,A,26.384658677471307,3.802954226711545
D,A,A,A,C,A,10.644223580276616,3.80464254835112
B,E,E,D,B,A,17.556083559687067,3.814989848424697
E,D,A,D,B,A,13.793147697318883,3.817575456604085
C,E,D,D,B,A,13.400351866947279,3.877449053437691
D,A,D,D,B,A,12.06093916958105,3.878678391636391
A,A,E,A,B,A,14.079517920929796,3.882105212670607
A,E,D,A,C,A,13.404631481602376,3.918038134465703
B,D,E,E,A,A,19.177938271236656,3.9399720800407634
A,A,A,E,B,A,13.551330646396643,3.9794508766235976
A,D,E,A,B,B,10.969179361380926,4.013911340038223
B,D,D,E,B,B,13.669816985256897,4.03394472426527
E,B,A,E,C,A,12.147416250459187,4.049374102335761
E,D,A,E,C,B,7.674428317620538,4.120317032358575
E,B,A,E,B,B,12.065940420133064,4.1295537915212295
A,E,D,D,C,B,10.056435456057415,4.154029552411923
E,D,A,E,B,A,14.064733797621223,4.188914329164912
E,C,D,D,B,A,13.520375604025809,4.214325948330228
C,E,D,A,C,B,9.815283564920607,4.267801382550727
D,A,E,A,B,B,10.25517398136939,4.2853116335827846
B,A,A,E,A,A,17.617209257498963,4.298588357924404
A,D,A,D,B,B,9.883989577307004,4.3301281625636765
A,C,C,B,B,A,5.419918554319827,4.350481611761419
A,C,E,E,A,A,18.372385534090434,4.350582900000734
B,E,C,D,C,B,8.276090676259837,4.351594352213896
D,C,D,B,B,A,4.728246236514425,4.390495348307019
E,D,E,D,B,A,12.177053522745199,4.421966958989775
E,C,D,A,C,B,9.522556670502583,4.422141244621382
C,D,E,D,A,A,19.314584734307495,4.426075573485719
D,A,E,D,B,B,10.514184791965961,4.4452732651136895
C,A,A,E,A,A,17.242291172028956,4.446198492080568
A,C,E,A,A,A,17.0812032149587,4.448656096529623
D,C,D,E,A,A,19.25559256865209,4.482678862054533
B,E,A,C,C,A,11.039516898481375,4.488095648930881
E,C,D,E,C,B,10.68611611261079,4.5052480549126175
C,A,A,D,A,A,16.238985099263488,4.50530966932781
A,E,A,E,C,B,8.542524923830937,4.507176104038139
B,E,E,E,A,A,19.713699585137583,4.523601269258478
B,A,D,D,A,A,14.47115285874521,4.5515875185138
E,B,A,D,B,B,10.947404782621707,4.556706469079698
B,A,A,E,B,A,15.227320600271808,4.560089656266056
D,A,B,A,C,B,6.850382876049988,4.568846601832807
B,E,E,D,C,B,11.14530244549881,4.606590412138012
D,E,E,A,C,B,7.801480160676686,4.606746060521564
A,D,E,A,B,A,14.479272831324792,4.623777706878034
E,C,E,D,C,B,10.019468872650595,4.657338213726844
C,E,D,E,C,B,10.44802646813913,4.697445138652907
E,B,C,A,C,A,10.415019469587119,4.71147541353882
E,A,E,D,C,B,9.662083401811685,4.731550420123274
A,E,D,E,C,B,9.658104991871738,4.735542229060834
D,E,E,E,B,A,12.206188787553103,4.747044010653335
A,B,D,D,A,A,14.782566985429147,4.769563927024781
D,D,D,A,B,A,13.007217181404894,4.79171897346733
D,D,A,D,B,A,12.991228240020451,4.796501152334521
B,D,E,A,A,A,19.330096768505694,4.815678293030532
D,A,E,E,B,B,10.916945472700602,4.829741104823201
A,E,E,A,B,A,16.646270123363898,4.892213889180236
A,E,E,E,C,A,13.165638223341961,4.913593752888373
A,C,A,A,A,A,15.429246873922274,4.923716136069644
A,E,D,D,B,A,14.706619513781709,4.980916970529399
E,A,E,E,C,B,10.586417407611945,4.982842081677503
A,D,E,E,B,B,11.0021800846192,5.015144991940093
D,B,E,A,C,A,13.80115471821054,5.045512953684885
E,C,A,A,C,B,9.00445347322712,5.067470804364363
D,C,D,D,A,A,17.935350285766397,5.069027599525748
D,B,E,A,B,B,12.916397735231172,5.085705228841763
B,D,A,E,B,A,13.737506432273625,5.099207866582441
B,D,A,E,B,B,12.843612911380673,5.10638149093901
E,A,D,E,B,A,15.663985618033477,5.112960020311158
E,D,E,E,B,A,16.09382960775154,5.140476704184842
D,E,D,D,B,A,13.520827410848847,5.161875480083728
D,E,A,D,C,B,7.83238500246379,5.1690672540110665
A,E,D,A,C,B,10.943570699832609,5.171023447452139
E,D,D,E,B,A,15.537994265759671,5.220568415917234
A,A,E,D,A,A,20.252485494605974,5.23914706072895
D,E,D,E,C,B,8.258514136002052,5.240089102431948
D,E,D,D,C,B,8.781737810652842,5.269437723769223
A,C,E,D,A,A,17.82264958420958,5.270537948550614
E,D,D,D,C,B,8.691313695476031,5.284036584997616
E,D,E,A,B,A,13.543060071459484,5.293644724894818
A,D,E,D,B,B,10.882972109862028,5.296194630402791
C,A,D,E,A,A,17.788236964711732,5.3082225342804765
E,A,A,C,C,B,4.316116839033935,5.314970637769488
D,E,E,D,B,A,14.320305856282928,5.332472238878957
D,C,E,E,A,A,20.740813367330276,5.333386791877031
A,C,D,A,A,A,16.48119120604725,5.333636656073499
E,B,C,A,C,B,8.79690471461621,5.335596675740948
C,D,E,E,A,A,20.77039416389717,5.359638121771238
E,B,E,D,B,A,16.389179491854417,5.392084120943799
E,B,A,E,B,A,18.159848075233953,5.435153381185023
D,E,E,D,C,B,8.781511907348332,5.448160951004046
E,D,D,E,C,B,8.669225361873563,5.4492469703653486
D,A,A,E,B,B,11.178604373166877,5.465558893438713
D,A,E,E,C,B,11.557419292565845,5.472183717196558
A,B,A,D,A,A,15.985050840415553,5.48417032677184
E,A,E,A,C,A,13.694434181977098,5.489056473214161
A,D,E,E,C,B,11.565903220536736,5.498402779847575
B,A,E,D,A,A,18.29010021672102,5.572493371471341
E,D,E,A,C,B,7.43762506737841,5.573559214504755
A,D,A,D,B,A,13.897816277585168,5.584578379997774
D,E,A,E,B,A,12.937839733990666,5.588572022290885
C,E,E,E,C,B,12.901393983789148,5.589656972842784
E,A,E,E,B,A,15.911136499436116,5.593897860813529
C,E,D,E,B,A,13.993498922188435,5.638213853694898
A,E,E,E,B,A,15.546691547049655,5.668437732127486
D,B,A,E,A,A,21.578231035557458,5.682710906898585
C,E,D,A,B,A,14.817331010297213,5.684744207640117
E,C,A,D,B,A,14.958539467189455,5.689257622319157
C,E,A,E,C,B,9.62641576354723,5.69429612097164
E,D,D,A,B,A,14.033885431945606,5.76167677067436
A,E,E,D,B,A,16.044538738485016,5.7668600905755385
C,E,E,E,B,B,11.895885352663274,5.788199040898894
E,C,E,A,C,B,9.515773292914611,5.78837827778186
D,E,E,A,B,A,16.94505875947298,5.873940868084044
B,A,A,A,A,A,16.37636574839501,5.906093396820691
C,E,A,D,B,A,15.281280139947944,5.939570319449686
E,C,D,A,B,A,15.567694289185548,5.944286974921409
C,D,D,A,A,A,18.85523524907648,5.988337994420908
A,D,D,A,B,A,15.220612523951797,5.988947218313731
B,D,E,E,C,B,16.850267178530366,6.057665162670872
E,A,D,D,B,A,15.642976600797866,6.061562762073396
D,E,D,E,B,A,14.020513205003615,6.064713451967658
